Diabetes_binary,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,Age,Education,Income,Social_Security_Number
0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0,6.0,8.0,215-80-8394
0.0,0.0,1.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,1.0,7.0,5.0,8.0,147-14-1234
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,5.0,6.0,268-59-3145
0.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,6.0,8.0,222-19-9157
0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,297-95-1508
0.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,748-55-2201
0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,348-82-9693
0.0,1.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,9.0,4.0,2.0,369-48-1695
0.0,0.0,1.0,1.0,28.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,8.0,375-69-2753
0.0,1.0,0.0,1.0,36.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,444-61-5026
1.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,5.0,8.0,445-28-4380
1.0,1.0,1.0,1.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,25.0,30.0,1.0,0.0,9.0,6.0,7.0,557-81-9933
0.0,0.0,1.0,1.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,764-14-1900
1.0,0.0,1.0,1.0,26.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,9.0,4.0,6.0,170-58-1136
0.0,1.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,11.0,5.0,2.0,562-35-8499
0.0,1.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,4.0,4.0,821-98-6127
0.0,1.0,0.0,1.0,40.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,30.0,1.0,1.0,7.0,4.0,3.0,316-60-5042
0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,760-50-4200
0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,7.0,5.0,8.0,274-53-2289
0.0,0.0,1.0,1.0,17.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,14.0,3.0,0.0,0.0,10.0,5.0,4.0,309-79-2176
0.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,6.0,8.0,495-24-9355
0.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,14.0,0.0,0.0,13.0,4.0,6.0,525-91-1174
0.0,1.0,0.0,1.0,33.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,5.0,5.0,8.0,452-77-5734
0.0,1.0,1.0,1.0,21.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,30.0,1.0,1.0,13.0,6.0,3.0,114-14-2503
0.0,0.0,1.0,1.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,6.0,8.0,707-39-5587
1.0,1.0,0.0,1.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,30.0,1.0,0.0,11.0,4.0,1.0,196-89-8182
0.0,1.0,0.0,1.0,41.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,802-82-5931
0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,679-66-5771
1.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,6.0,6.0,664-57-4936
0.0,1.0,1.0,1.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,7.0,5.0,8.0,527-20-9300
0.0,0.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,6.0,6.0,8.0,428-71-9126
0.0,1.0,1.0,1.0,28.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,10.0,6.0,7.0,849-82-8115
0.0,1.0,1.0,1.0,31.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,5.0,7.0,429-76-9105
1.0,1.0,1.0,1.0,33.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,30.0,28.0,1.0,1.0,10.0,6.0,8.0,884-80-4891
1.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,30.0,30.0,1.0,0.0,8.0,5.0,4.0,117-82-8768
0.0,1.0,0.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,5.0,7.0,655-84-3503
0.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,8.0,400-12-6447
1.0,1.0,1.0,1.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,887-56-3607
0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,6.0,8.0,574-15-7350
0.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,6.0,7.0,361-21-1185
0.0,0.0,1.0,1.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,12.0,5.0,5.0,692-63-2090
0.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,244-98-3983
0.0,1.0,0.0,1.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,738-91-8908
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,6.0,8.0,303-68-4001
0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,585-45-7642
1.0,1.0,1.0,1.0,34.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,10.0,5.0,6.0,177-10-1012
0.0,1.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,8.0,5.0,8.0,528-42-5836
0.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,6.0,8.0,490-42-1792
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,9.0,6.0,6.0,419-63-2086
0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0,6.0,7.0,392-73-7925
0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,6.0,7.0,414-50-3400
0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,30.0,0.0,0.0,9.0,5.0,8.0,671-72-5442
0.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,8.0,588-63-5077
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,4.0,5.0,7.0,249-57-7899
0.0,1.0,1.0,1.0,34.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,10.0,5.0,8.0,519-98-5077
0.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,30.0,1.0,0.0,13.0,6.0,7.0,179-71-7024
0.0,1.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,549-62-4092
0.0,1.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,12.0,4.0,4.0,443-64-8199
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,653-16-7019
0.0,1.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,5.0,7.0,723-21-8298
0.0,1.0,1.0,1.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,216-38-4364
0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,609-58-1555
0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,6.0,4.0,7.0,883-41-7062
1.0,1.0,1.0,1.0,38.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,1.0,7.0,6.0,8.0,225-28-9373
0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,5.0,1.0,837-33-9650
0.0,0.0,1.0,1.0,23.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,5.0,6.0,369-10-2337
0.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,8.0,4.0,5.0,853-44-5620
0.0,1.0,1.0,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,8.0,6.0,7.0,155-99-1232
0.0,0.0,0.0,1.0,25.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0,192-19-2030
1.0,1.0,1.0,1.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,4.0,7.0,355-89-6798
0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,515-91-3305
1.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,8.0,5.0,6.0,483-93-1180
1.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,12.0,6.0,5.0,465-46-9166
1.0,1.0,0.0,1.0,43.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,319-58-6737
0.0,1.0,0.0,1.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,460-82-5143
0.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,450-67-9541
0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,4.0,4.0,512-88-4377
0.0,1.0,0.0,1.0,32.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,30.0,1.0,1.0,6.0,5.0,3.0,720-78-3705
0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,15.0,1.0,0.0,11.0,6.0,6.0,258-61-2703
0.0,1.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,10.0,1.0,0.0,11.0,4.0,6.0,551-75-4438
0.0,1.0,1.0,1.0,55.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,25.0,7.0,1.0,0.0,8.0,5.0,1.0,115-65-9117
1.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,6.0,8.0,422-79-1696
0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,5.0,0.0,1.0,1.0,4.0,2.0,651-55-5166
0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,12.0,6.0,8.0,737-94-8058
1.0,0.0,0.0,1.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,30.0,20.0,1.0,0.0,6.0,4.0,1.0,113-75-5857
0.0,0.0,0.0,1.0,43.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,8.0,4.0,3.0,542-35-2744
0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,358-92-5930
0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,11.0,6.0,6.0,206-59-8221
0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,8.0,394-45-3489
